date,sector_index,close
2022-10-01,IFNC,11714.449999999999
2022-11-01,IFNC,10252.01
2022-12-01,IFNC,10253.49
2023-01-01,IFNC,10403.47
2023-02-01,IFNC,9824.32
2023-03-01,IFNC,9697.2
2023-04-01,IFNC,10460.720000000001
2023-05-01,IFNC,11088.630000000001
2023-06-01,IFNC,12223.630000000001
2023-07-01,IFNC,12378.19
2023-08-01,IFNC,11574.730000000001
2023-09-01,IFNC,11366.16
2023-10-01,IFNC,11043.08
2023-11-01,IFNC,12851.27
2023-12-01,IFNC,13803.59
2024-01-01,IFNC,13167.849999999999
2024-02-01,IFNC,13218.47
2024-03-01,IFNC,13221.58
2024-04-01,IFNC,12514.7
2024-05-01,IFNC,12100.27
2024-06-01,IFNC,12163.369999999999
2024-07-01,IFNC,12538.48
2024-08-01,IFNC,14203.47
2024-09-01,IFNC,13389.02
2024-10-01,IFNC,13094.05
2024-11-01,IFNC,12071.369999999999
2024-12-01,IFNC,11829.57
2019-12-01,IMAT,3609.52
2020-01-01,IMAT,3590.15
2020-02-01,IMAT,3224.54
2020-03-01,IMAT,2546.3700000000003
2020-04-01,IMAT,2800.69
2020-05-01,IMAT,3154.79
2020-06-01,IMAT,3317.67
2020-07-01,IMAT,3649.56
2020-08-01,IMAT,4023.79
2020-09-01,IMAT,4044.75
2020-10-01,IMAT,4316.320000000001
2020-11-01,IMAT,4921.07
2020-12-01,IMAT,5437.610000000001
2021-01-01,IMAT,5449.95
2021-02-01,IMAT,6023.820000000001
2021-03-01,IMAT,6392.28
2021-04-01,IMAT,7165.01
2021-05-01,IMAT,6930.38
2021-06-01,IMAT,6900.49
2021-07-01,IMAT,6766.01
2021-08-01,IMAT,6510.35
2021-09-01,IMAT,5850.67
2021-10-01,IMAT,5364.79
2021-11-01,IMAT,5547.94
2021-12-01,IMAT,6150.95
2022-01-01,IMAT,6177.41
2022-02-01,IMAT,6097.79
2022-03-01,IMAT,6466.5
2022-04-01,IMAT,5732.87
2022-05-01,IMAT,6077.7699999999995
2022-06-01,IMAT,5153.48
2022-07-01,IMAT,5041.5
2022-08-01,IMAT,4862.42
2022-09-01,IMAT,4935.110000000001
2022-10-01,IMAT,5259.46
2022-11-01,IMAT,5967.07
2022-12-01,IMAT,5811.4
2023-01-01,IMAT,6184.78
2023-02-01,IMAT,5700.21
2023-03-01,IMAT,5316.7699999999995
2023-04-01,IMAT,5120.35
2023-05-01,IMAT,5166.469999999999
2023-06-01,IMAT,5300.120000000001
2023-07-01,IMAT,5765.41
2023-08-01,IMAT,5516.18
2023-09-01,IMAT,5605.75
2023-10-01,IMAT,5313.9
2023-11-01,IMAT,5861.92
2023-12-01,IMAT,6273.51
2024-01-01,IMAT,5667.14
2024-02-01,IMAT,5819.469999999999
